BODY
Fuselage
 15  21
 0.000000  0.001000  0.000000
 0.000000  0.000951  0.000309
 0.000000  0.000809  0.000588
 0.000000  0.000588  0.000809
 0.000000  0.000309  0.000951
 0.000000  0.000000  0.001000
 0.000000  -0.000309  0.000951
 0.000000  -0.000588  0.000809
 0.000000  -0.000809  0.000588
 0.000000  -0.000951  0.000309
 0.000000  -0.001000  0.000000
 0.000000  -0.000951  -0.000309
 0.000000  -0.000809  -0.000588
 0.000000  -0.000588  -0.000809
 0.000000  -0.000309  -0.000951
 0.000000  -0.000000  -0.001000
 0.000000  0.000309  -0.000951
 0.000000  0.000588  -0.000809
 0.000000  0.000809  -0.000588
 0.000000  0.000951  -0.000309
 0.000000  0.001000  -0.000000
 0.050000  0.011667  0.000000
 0.050000  0.011096  0.003605
 0.050000  0.009439  0.006857
 0.050000  0.006857  0.009439
 0.050000  0.003605  0.011096
 0.050000  0.000000  0.011667
 0.050000  -0.003605  0.011096
 0.050000  -0.006857  0.009439
 0.050000  -0.009439  0.006857
 0.050000  -0.011096  0.003605
 0.050000  -0.011667  0.000000
 0.050000  -0.011096  -0.003605
 0.050000  -0.009439  -0.006857
 0.050000  -0.006857  -0.009439
 0.050000  -0.003605  -0.011096
 0.050000  -0.000000  -0.011667
 0.050000  0.003605  -0.011096
 0.050000  0.006857  -0.009439
 0.050000  0.009439  -0.006857
 0.050000  0.011096  -0.003605
 0.050000  0.011667  -0.000000
 0.100000  0.023333  0.000000
 0.100000  0.022191  0.007210
 0.100000  0.018877  0.013715
 0.100000  0.013715  0.018877
 0.100000  0.007210  0.022191
 0.100000  0.000000  0.023333
 0.100000  -0.007210  0.022191
 0.100000  -0.013715  0.018877
 0.100000  -0.018877  0.013715
 0.100000  -0.022191  0.007210
 0.100000  -0.023333  0.000000
 0.100000  -0.022191  -0.007210
 0.100000  -0.018877  -0.013715
 0.100000  -0.013715  -0.018877
 0.100000  -0.007210  -0.022191
 0.100000  -0.000000  -0.023333
 0.100000  0.007210  -0.022191
 0.100000  0.013715  -0.018877
 0.100000  0.018877  -0.013715
 0.100000  0.022191  -0.007210
 0.100000  0.023333  -0.000000
 0.150000  0.034828  0.000000
 0.150000  0.033123  0.010762
 0.150000  0.028176  0.020471
 0.150000  0.020471  0.028176
 0.150000  0.010762  0.033123
 0.150000  0.000000  0.034828
 0.150000  -0.010762  0.033123
 0.150000  -0.020471  0.028176
 0.150000  -0.028176  0.020471
 0.150000  -0.033123  0.010762
 0.150000  -0.034828  0.000000
 0.150000  -0.033123  -0.010762
 0.150000  -0.028176  -0.020471
 0.150000  -0.020471  -0.028176
 0.150000  -0.010762  -0.033123
 0.150000  -0.000000  -0.034828
 0.150000  0.010762  -0.033123
 0.150000  0.020471  -0.028176
 0.150000  0.028176  -0.020471
 0.150000  0.033123  -0.010762
 0.150000  0.034828  -0.000000
 0.200000  0.034592  0.000000
 0.200000  0.032899  0.010689
 0.200000  0.027985  0.020333
 0.200000  0.020333  0.027985
 0.200000  0.010689  0.032899
 0.200000  0.000000  0.034592
 0.200000  -0.010689  0.032899
 0.200000  -0.020333  0.027985
 0.200000  -0.027985  0.020333
 0.200000  -0.032899  0.010689
 0.200000  -0.034592  0.000000
 0.200000  -0.032899  -0.010689
 0.200000  -0.027985  -0.020333
 0.200000  -0.020333  -0.027985
 0.200000  -0.010689  -0.032899
 0.200000  -0.000000  -0.034592
 0.200000  0.010689  -0.032899
 0.200000  0.020333  -0.027985
 0.200000  0.027985  -0.020333
 0.200000  0.032899  -0.010689
 0.200000  0.034592  -0.000000
 0.250000  0.034203  0.000000
 0.250000  0.032529  0.010569
 0.250000  0.027671  0.020104
 0.250000  0.020104  0.027671
 0.250000  0.010569  0.032529
 0.250000  0.000000  0.034203
 0.250000  -0.010569  0.032529
 0.250000  -0.020104  0.027671
 0.250000  -0.027671  0.020104
 0.250000  -0.032529  0.010569
 0.250000  -0.034203  0.000000
 0.250000  -0.032529  -0.010569
 0.250000  -0.027671  -0.020104
 0.250000  -0.020104  -0.027671
 0.250000  -0.010569  -0.032529
 0.250000  -0.000000  -0.034203
 0.250000  0.010569  -0.032529
 0.250000  0.020104  -0.027671
 0.250000  0.027671  -0.020104
 0.250000  0.032529  -0.010569
 0.250000  0.034203  -0.000000
 0.300000  0.033622  0.000000
 0.300000  0.031977  0.010390
 0.300000  0.027201  0.019763
 0.300000  0.019763  0.027201
 0.300000  0.010390  0.031977
 0.300000  0.000000  0.033622
 0.300000  -0.010390  0.031977
 0.300000  -0.019763  0.027201
 0.300000  -0.027201  0.019763
 0.300000  -0.031977  0.010390
 0.300000  -0.033622  0.000000
 0.300000  -0.031977  -0.010390
 0.300000  -0.027201  -0.019763
 0.300000  -0.019763  -0.027201
 0.300000  -0.010390  -0.031977
 0.300000  -0.000000  -0.033622
 0.300000  0.010390  -0.031977
 0.300000  0.019763  -0.027201
 0.300000  0.027201  -0.019763
 0.300000  0.031977  -0.010390
 0.300000  0.033622  -0.000000
 0.350000  0.032813  0.000000
 0.350000  0.031207  0.010140
 0.350000  0.026546  0.019287
 0.350000  0.019287  0.026546
 0.350000  0.010140  0.031207
 0.350000  0.000000  0.032813
 0.350000  -0.010140  0.031207
 0.350000  -0.019287  0.026546
 0.350000  -0.026546  0.019287
 0.350000  -0.031207  0.010140
 0.350000  -0.032813  0.000000
 0.350000  -0.031207  -0.010140
 0.350000  -0.026546  -0.019287
 0.350000  -0.019287  -0.026546
 0.350000  -0.010140  -0.031207
 0.350000  -0.000000  -0.032813
 0.350000  0.010140  -0.031207
 0.350000  0.019287  -0.026546
 0.350000  0.026546  -0.019287
 0.350000  0.031207  -0.010140
 0.350000  0.032813  -0.000000
 0.400000  0.031735  0.000000
 0.400000  0.030181  0.009807
 0.400000  0.025674  0.018653
 0.400000  0.018653  0.025674
 0.400000  0.009807  0.030181
 0.400000  0.000000  0.031735
 0.400000  -0.009807  0.030181
 0.400000  -0.018653  0.025674
 0.400000  -0.025674  0.018653
 0.400000  -0.030181  0.009807
 0.400000  -0.031735  0.000000
 0.400000  -0.030181  -0.009807
 0.400000  -0.025674  -0.018653
 0.400000  -0.018653  -0.025674
 0.400000  -0.009807  -0.030181
 0.400000  -0.000000  -0.031735
 0.400000  0.009807  -0.030181
 0.400000  0.018653  -0.025674
 0.400000  0.025674  -0.018653
 0.400000  0.030181  -0.009807
 0.400000  0.031735  -0.000000
 0.450000  0.030351  0.000000
 0.450000  0.028865  0.009379
 0.450000  0.024554  0.017840
 0.450000  0.017840  0.024554
 0.450000  0.009379  0.028865
 0.450000  0.000000  0.030351
 0.450000  -0.009379  0.028865
 0.450000  -0.017840  0.024554
 0.450000  -0.024554  0.017840
 0.450000  -0.028865  0.009379
 0.450000  -0.030351  0.000000
 0.450000  -0.028865  -0.009379
 0.450000  -0.024554  -0.017840
 0.450000  -0.017840  -0.024554
 0.450000  -0.009379  -0.028865
 0.450000  -0.000000  -0.030351
 0.450000  0.009379  -0.028865
 0.450000  0.017840  -0.024554
 0.450000  0.024554  -0.017840
 0.450000  0.028865  -0.009379
 0.450000  0.030351  -0.000000
 0.500000  0.028622  0.000000
 0.500000  0.027222  0.008845
 0.500000  0.023156  0.016824
 0.500000  0.016824  0.023156
 0.500000  0.008845  0.027222
 0.500000  0.000000  0.028622
 0.500000  -0.008845  0.027222
 0.500000  -0.016824  0.023156
 0.500000  -0.023156  0.016824
 0.500000  -0.027222  0.008845
 0.500000  -0.028622  0.000000
 0.500000  -0.027222  -0.008845
 0.500000  -0.023156  -0.016824
 0.500000  -0.016824  -0.023156
 0.500000  -0.008845  -0.027222
 0.500000  -0.000000  -0.028622
 0.500000  0.008845  -0.027222
 0.500000  0.016824  -0.023156
 0.500000  0.023156  -0.016824
 0.500000  0.027222  -0.008845
 0.500000  0.028622  -0.000000
 0.550000  0.026511  0.000000
 0.550000  0.025214  0.008192
 0.550000  0.021448  0.015583
 0.550000  0.015583  0.021448
 0.550000  0.008192  0.025214
 0.550000  0.000000  0.026511
 0.550000  -0.008192  0.025214
 0.550000  -0.015583  0.021448
 0.550000  -0.021448  0.015583
 0.550000  -0.025214  0.008192
 0.550000  -0.026511  0.000000
 0.550000  -0.025214  -0.008192
 0.550000  -0.021448  -0.015583
 0.550000  -0.015583  -0.021448
 0.550000  -0.008192  -0.025214
 0.550000  -0.000000  -0.026511
 0.550000  0.008192  -0.025214
 0.550000  0.015583  -0.021448
 0.550000  0.021448  -0.015583
 0.550000  0.025214  -0.008192
 0.550000  0.026511  -0.000000
 0.600000  0.023980  0.000000
 0.600000  0.022806  0.007410
 0.600000  0.019400  0.014095
 0.600000  0.014095  0.019400
 0.600000  0.007410  0.022806
 0.600000  0.000000  0.023980
 0.600000  -0.007410  0.022806
 0.600000  -0.014095  0.019400
 0.600000  -0.019400  0.014095
 0.600000  -0.022806  0.007410
 0.600000  -0.023980  0.000000
 0.600000  -0.022806  -0.007410
 0.600000  -0.019400  -0.014095
 0.600000  -0.014095  -0.019400
 0.600000  -0.007410  -0.022806
 0.600000  -0.000000  -0.023980
 0.600000  0.007410  -0.022806
 0.600000  0.014095  -0.019400
 0.600000  0.019400  -0.014095
 0.600000  0.022806  -0.007410
 0.600000  0.023980  -0.000000
 0.650000  0.020989  0.000000
 0.650000  0.019961  0.006486
 0.650000  0.016980  0.012337
 0.650000  0.012337  0.016980
 0.650000  0.006486  0.019961
 0.650000  0.000000  0.020989
 0.650000  -0.006486  0.019961
 0.650000  -0.012337  0.016980
 0.650000  -0.016980  0.012337
 0.650000  -0.019961  0.006486
 0.650000  -0.020989  0.000000
 0.650000  -0.019961  -0.006486
 0.650000  -0.016980  -0.012337
 0.650000  -0.012337  -0.016980
 0.650000  -0.006486  -0.019961
 0.650000  -0.000000  -0.020989
 0.650000  0.006486  -0.019961
 0.650000  0.012337  -0.016980
 0.650000  0.016980  -0.012337
 0.650000  0.019961  -0.006486
 0.650000  0.020989  -0.000000
 0.700000  0.017500  0.000000
 0.700000  0.016643  0.005408
 0.700000  0.014158  0.010286
 0.700000  0.010286  0.014158
 0.700000  0.005408  0.016643
 0.700000  0.000000  0.017500
 0.700000  -0.005408  0.016643
